"Model","Architecture","Learning_rate","L1","L2","Inner_RMSE","Inner_Correlation","Inner_MAE","Scenario","Repetition","Fold","SplitID","TaskID"
"ANN_L1","32-16",0.000125,0.001,0,0.838373568398955,0.633995508361702,0.670142183492052,"C2",4,5,"R04_F05","C2_R04_F05"
"ANN_L2","32-16",0.000125,0,0.001,0.843232959055677,0.630468368242172,0.674140272799849,"C2",4,5,"R04_F05","C2_R04_F05"
"ANN_L1_L2","32-16",0.000125,0.001,1e-05,0.838171008604294,0.633841785488294,0.670279026689361,"C2",4,5,"R04_F05","C2_R04_F05"
"ANN_0","32-16",0.000125,0,0,0.807713691734094,0.655770379503508,0.644141150018867,"C2",5,1,"R05_F01","C2_R05_F01"
"ANN_L1","32-16",0.000125,0.001,0,0.827750325684312,0.634108411827618,0.658618009385002,"C2",5,1,"R05_F01","C2_R05_F01"
"ANN_L2","32-16",0.000125,0,0.01,0.828328277050483,0.63335078346883,0.659204752980752,"C2",5,1,"R05_F01","C2_R05_F01"
"ANN_L1_L2","32-16",0.000125,0.001,0.001,0.826531936781554,0.634815156673495,0.657829834601412,"C2",5,1,"R05_F01","C2_R05_F01"
"ANN_0","64-32",5e-04,0,0,0.806719871321161,0.65793396220342,0.641662454987739,"C2",5,2,"R05_F02","C2_R05_F02"
"ANN_L1","64-32",5e-04,1e-05,0,0.830408867144366,0.644892182285345,0.665066493531875,"C2",5,2,"R05_F02","C2_R05_F02"
"ANN_L2","64-32",5e-04,0,0.001,0.83036340324167,0.644977804740201,0.664940806416596,"C2",5,2,"R05_F02","C2_R05_F02"
